,image,gen_caption
2912,98537.png,young boy wearing blue shirt and blue shorts is riding bicycle .
2913,24875.png,woman with brown hair and white shirt is smiling .
2914,30526.png,two young boys with blue and yellow shirts are standing on the street .
2915,24397.png,two women with their head and white hair are talking to the left .
2916,40573.png,man in black jacket and black jacket is looking at the camera .
2917,37915.png,two women pose for picture .
2918,69203.png,two men in uniforms are standing in front of brick wall .
2919,04296.png,man in white shirt and black shirt is holding up sign .
2920,31786.png,brown dog with brown collar and black collar is on the side of an orange and white animal .
2921,56149.png,white dog jumps to catch red frisbee .
2922,60971.png,two men dressed in suits are talking to each other .
2923,38046.png,man is holding baby with his head on his head .
2924,13962.png,two women and two women are sitting on the floor .
2925,93245.png,woman in black shirt and brown shirt is holding up sign .
2926,12704.png,three people are posing for the camera .
2927,39785.png,man with glasses and glasses is standing on his head .
2928,64708.png,man in black jacket and red jacket is wearing black jacket .
2929,75613.png,two men and woman are sitting on the wall and one of them .
2930,15694.png,the man in the blue shirt is holding the ball .
2931,58016.png,man with glasses and glasses is standing in front of white building .
2932,98754.png,two children are playing in the street .
2933,20984.png,little girl in dress is sitting on the couch .
2934,69085.png,dog with his mouth open and red collar is walking on the ground .
2935,34791.png,small child wearing blue jacket and jacket is holding up sign .
2936,71294.png,man and woman are standing next to man in front of crowd .
2937,04615.png,an older woman wearing white and white shirt and black hat is standing on the street .
2938,58730.png,two dogs are playing together .
2939,46507.png,two men are standing on the street .
2940,32564.png,man in red jacket and black pants is walking through the water .
2941,19234.png,two women and two women are playing with each other .
2942,58349.png,two people are in white and black and white are in the air .
2943,63581.png,woman with black hair and white hair and brown hair and white cap .
2944,46215.png,two men and woman pose for picture .
2945,50271.png,man and woman pose for picture .
2946,82673.png,woman and man sitting on wood floor .
2947,19205.png,woman in black shirt and blue dress is holding up sign .
2948,05189.png,the woman is wearing black hat and red hat and white hat and black hat .
2949,34165.png,group of people are walking through the grass .
2950,32896.png,two men in black and white shirts are standing in front of sign .
2951,31479.png,man with glasses and white cap and red cap and black cap .
2952,12536.png,the white haired man in white shirt and black shorts is sitting on the floor .
2953,39624.png,woman in blue dress is smiling and smiling .
2954,95401.png,two men and two women in the middle of the doorway .
2955,81904.png,woman in sunglasses and white shirt and brown shirt is sitting on the back of the wall .
2956,40716.png,little girl is holding the camera .
2957,91462.png,two men and woman are playing with each other on the beach .
2958,16540.png,an older man with glasses and glasses is holding two men .
2959,98526.png,three men in black and white shirts are standing in front of crowd of people .
2960,59123.png,group of people are walking together and one is holding up and the other is holding up .
2961,26943.png,two men and woman are standing in front of sign .
2962,29150.png,man in white jacket and hat stands next to woman in front of sign .
2963,87501.png,dog is playing with his head on the beach .
2964,59043.png,man in suit and two men are walking past large black and white shirts .
2965,80615.png,man in blue shirt and blue shirt is sitting on the floor of the street .
2966,71925.png,two women in black and white shirts are walking through the grass .
2967,17508.png,group of children in white and white shirts and white shirts are standing in front of them .
2968,84719.png,woman in blue shirt and white shirt and black pants is standing in front of her hand .
2969,80239.png,two young women in winter coats and one has white and one hand .
2970,32591.png,two men are walking through the grass .
2971,56930.png,woman with her hair and glasses is smiling .
2972,40286.png,boy wearing blue coat is wearing red hat and blue shirt .
2973,89025.png,three men are sitting on bench and holding sign .
2974,80134.png,person is riding on bike .
2975,21698.png,the girl is holding the blue and white balloon .
2976,76532.png,two men and two women are posing for picture .
2977,98625.png,two men in black shirts and white shirts .
2978,09128.png,two women with their arms around each other .
2979,51924.png,woman in yellow shirt and black coat is holding up sign .
2980,67913.png,two women and two women are posing for picture .
2981,29614.png,the woman is wearing white shirt and has her hair is standing in the snow .
2982,75132.png,woman in white dress and black shorts is standing on the wall .
2983,62713.png,young girl with blue shirt and white shirt and black pants is smiling .
2984,81902.png,man and woman are standing in front of sign .
2985,82316.png,woman and two young girls are posing for picture .
2986,10576.png,two men are walking through the middle of the middle of the woman .
2987,26890.png,man with glasses and blue shirt is holding sign .
2988,52614.png,two men in black and white shirts are in front of white wall .
2989,61892.png,little girl in white shirt and blue jeans is standing in front of the crowd of people .
2990,93750.png,baby in black and white shirt and red shorts are sitting on the ground .
2991,96531.png,dog with stick in his mouth and looks at the camera .
2992,79305.png,two men are playing with fire .
2993,73962.png,two women in black and white shirts are smiling .
2994,49723.png,two men in white shirts and red shirts are standing next to each other .
2995,62405.png,people are gathered on the side of the beach .
